Timestamp,IP_Address,Method,Path,Status,User_Agent
1999-12-01 00:01:25,48.176.91.140,HEAD,/styles/main.css,200,Mozilla/4.0 (compatible; MSIE 4.01; Windows NT)
1999-12-01 00:01:59,96.59.18.165,OPTIONS,/archive/1998/news.html,404,Mozilla/4.0 (compatible; MSIE 4.01; Windows NT)
1999-12-01 00:03:37,16.113.33.25,GET,/robots.txt,200,Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)
1999-12-01 00:04:04,20.142.220.210,OPTIONS,/styles/main.css,302,Mozilla/4.0 (compatible; MSIE 4.01; Windows NT)
1999-12-01 00:05:25,69.235.56.162,OPTIONS,/contact.htm,302,Mozilla/4.0 (compatible; MSIE 4.01; Windows NT)
1999-12-01 00:07:19,238.140.191.105,POST,/admin/login.asp,403,Mozilla/3.0 (compatible; Netscape/3.0; Windows 95)
1999-12-01 00:07:42,34.238.182.127,OPTIONS,/archive/1998/news.html,403,Mozilla/4.0 (compatible; MSIE 4.01; Windows NT)
1999-12-01 00:08:15,190.223.128.204,OPTIONS,/archive/1998/news.html,200,Mozilla/4.7 [en] (Win95; I)
1999-12-01 00:09:26,138.110.236.167,POST,/index.html,200,Mozilla/3.0 (compatible; Netscape/3.0; Windows 95)
1999-12-01 00:09:56,82.58.10.16,OPTIONS,/styles/main.css,403,Mozilla/4.7 [en] (Win95; I)
1999-12-01 00:10:11,127.190.97.128,GET,/contact.htm,404,Mozilla/3.0 (compatible; Netscape/3.0; Windows 95)
1999-12-01 00:10:51,127.74.73.149,OPTIONS,/styles/main.css,200,Mozilla/3.0 (compatible; Netscape/3.0; Windows 95)
1999-12-01 00:10:54,201.8.255.140,HEAD,/downloads/patch_v1.exe,200,Mozilla/3.0 (compatible; Netscape/3.0; Windows 95)
1999-12-01 00:11:05,82.114.66.41,OPTIONS,/downloads/patch_v1.exe,302,Googlebot/2.1 (+http://www.google.com/bot.html)
1999-12-01 00:12:03,146.90.76.31,HEAD,/admin/login.asp,200,Mozilla/3.0 (compatible; Netscape/3.0; Windows 95)
1999-12-01 00:12:23,45.91.66.112,GET,/images/logo.gif,500,Mozilla/3.0 (compatible; Netscape/3.0; Windows 95)
1999-12-01 00:12:55,142.177.84.48,HEAD,/archive/1998/news.html,500,Googlebot/2.1 (+http://www.google.com/bot.html)
1999-12-01 00:13:58,190.46.135.223,GET,/favicon.ico,302,Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)
1999-12-01 00:14:13,147.39.42.101,OPTIONS,/downloads/patch_v1.exe,200,Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)
1999-12-01 00:14:32,214.59.27.33,OPTIONS,/favicon.ico,500,Mozilla/4.0 (compatible; MSIE 4.01; Windows NT)
1999-12-01 00:15:21,44.238.93.132,HEAD,/index.html,500,Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)
